n,avg_runtime_sec
1000,0.0005701999956121048
3000,0.0017982334053764741
5000,0.002870999975129962
7000,0.004116033281510075
9000,0.00527596667719384
11000,0.006564800006647904
13000,0.00793096663740774
15000,0.009583566648264727
17000,0.010415033359701434
19000,0.011719466730331382
