n,avg_runtime_sec
500,0.0034430332792301974
1500,0.008847766633455953
2500,0.014174133306369185
3500,0.01868526660837233
4500,0.02381186660689612
5500,0.029396999937792618
6500,0.03335736660907666
7500,0.038612366653978825
8500,0.05444570002146065
9500,0.04828146658837795
